customer_id,recency,frequency,monetary,Cluster
C100004,467,1,7502.0,1
C100005,5,1,2400.68,0
C100006,97,1,322.56,0
C100012,570,1,130.75,2
C100019,591,1,35.84,2
C100025,643,1,143.36,2
C100028,468,1,15.15,2
C100030,146,1,4801.28,0
C100034,579,1,1200.32,2
C100041,684,1,2700.7200000000003,2
C100042,428,1,650.56,2
C100045,422,1,5.23,2
C100066,218,1,322.56,0
C100067,791,1,600.17,2
C100078,97,1,60.6,0
C100088,733,1,5.23,2
C100090,366,1,162.64,0
C100095,150,1,130.75,0
C100096,521,1,2700.7200000000003,2
C100099,350,1,136.35000000000002,0
C100102,189,1,2700.7200000000003,0
C100105,235,1,5.23,0
C100106,257,1,4801.28,0
C100110,311,1,7502.0,1
C100112,287,1,300.08,0
C100113,266,1,4801.28,0
C100115,273,1,40.66,0
C100121,339,1,11.73,0
C100123,407,1,365.94,2
C100124,631,1,47.07,2
C100130,28,1,5401.53,0
C100132,151,1,47.07,0
C100138,345,1,2400.68,0
C100139,722,1,1050.0,2
C100141,364,1,60.6,0
C100148,551,1,2700.7200000000003,2
C100152,395,1,1200.32,0
C100154,140,1,15.15,0
C100155,5,1,300.08,0
C100156,702,1,83.68,2
C100157,317,1,1016.5,0
C100159,377,1,896.0,0
C100168,140,1,26250.0,1
C100172,364,1,573.44,0
C100175,514,1,9602.72,1
C100176,604,1,2700.7200000000003,2
C100181,385,1,896.0,0
C100182,508,1,293.25,2
C100184,318,1,4200.0,0
C100188,157,1,573.44,0
C100189,62,1,322.56,0
C100190,41,1,35.84,0
C100198,766,1,162.64,2
C100199,451,1,16800.0,1
C100201,491,1,300.08,2
C100204,221,1,1016.5,0
C100211,104,1,9602.72,1
C100218,487,1,7502.0,1
C100221,773,1,9602.72,1
C100225,351,1,143.36,0
C100232,56,1,600.17,0
C100235,85,1,2700.7200000000003,0
C100236,12,1,1200.32,0
C100241,492,1,650.56,2
C100242,757,1,5.23,2
C100246,453,1,1200.32,2
C100247,276,1,2400.68,0
C100253,486,1,600.17,2
C100254,749,1,16800.0,1
C100256,181,1,47.07,0
C100259,789,1,143.36,2
C100261,116,1,4801.28,0
C100272,370,1,83.68,0
C100273,371,1,300.08,0
C100281,10,1,1200.32,0
C100282,522,1,1200.32,2
C100283,494,1,1200.32,2
C100284,252,1,9450.0,1
C100285,348,1,300.08,0
C100286,641,1,4801.28,2
C100291,643,1,105.57,2
C100297,177,1,365.94,0
C100298,573,1,2700.7200000000003,2
C100299,166,1,15.15,0
C100301,558,1,15.15,2
C100305,471,1,300.08,2
C100306,628,1,26250.0,1
C100307,791,1,300.08,2
C100309,645,1,1200.32,2
C100311,188,1,650.56,0
C100313,471,1,7502.0,1
C100314,689,1,162.64,2
C100315,309,1,7502.0,1
C100322,248,1,26250.0,1
C100329,167,1,20.92,0
C100330,233,1,322.56,0
C100331,337,1,9602.72,1
C100333,741,1,7502.0,2
C100336,584,1,2700.7200000000003,2
C100346,750,1,7502.0,2
C100347,236,1,2400.68,0
C100349,733,1,7502.0,2
C100355,319,1,162.64,0
C100361,338,1,47.07,0
C100364,395,1,7502.0,1
C100367,8,1,11.73,0
C100368,68,1,650.56,0
C100369,566,1,7502.0,1
C100376,790,1,136.35000000000002,2
C100379,458,1,2400.68,2
C100383,385,1,5.23,0
C100384,515,1,242.4,2
C100386,519,1,2700.7200000000003,2
C100398,198,1,300.08,0
C100400,440,1,300.08,2
C100401,167,1,7502.0,1
C100402,386,1,300.08,0
C100403,150,1,7502.0,1
C100404,314,1,47.07,0
C100406,622,1,7502.0,1
C100410,607,1,2700.7200000000003,2
C100415,535,1,11.73,2
C100416,225,1,5.23,0
C100420,373,1,4801.28,0
C100421,562,1,600.17,2
C100427,103,1,365.94,0
C100438,522,1,4801.28,2
C100439,478,1,143.36,2
C100440,197,1,5.23,0
C100441,201,1,2700.7200000000003,0
C100444,106,1,650.56,0
C100446,753,1,573.44,2
C100449,205,1,20.92,0
C100451,586,1,9602.72,1
C100454,367,1,4801.28,0
C100455,158,1,2700.7200000000003,0
C100459,15,1,47.07,0
C100462,500,1,5401.53,2
C100463,596,1,20.92,2
C100467,388,1,130.75,0
